Symbol,Bülten Adı
AVOD,A.V.O.D GIDA VE TARIM
ACSEL,ACIPAYAM SELULOZ
AFYON,AFYON CIMENTO
AHGAZ,AHLATCI DOGALGAZ
AKCNS,AKCANSA
ATEKS,AKIN TEKSTIL
AKSA,AKSA
AKSEN,AKSA ENERJI
ALBRK,ALBARAKA TURK
ALCTL,ALCATEL LUCENT TELETAS
ALFAS,ALFA SOLAR ENERJI
ALKA,ALKIM KAGIT
ALKIM,ALKIM KIMYA
ANELE,ANEL ELEKTRIK
ARDYZ,ARD BILISIM TEKNOLOJILERI
ARENA,ARENA BILGISAYAR
ARMDA,ARMADA BILGISAYAR
ARSAN,ARSAN TEKSTIL
ARZUM,ARZUM EV ALETLERI
ASELS,ASELSAN
ASTOR,ASTOR ENERJI
ATATP,ATP BILGISAYAR
BAKAB,BAK AMBALAJ
BNTAS,BANTAS AMBALAJ
BANVT,BANVIT
BARMA,BAREM AMBALAJ
BASGZ,BASKENT DOGALGAZ GMYO
BAYRK,BAYRAK TABAN SANAYI
BERA,BERA HOLDING
BRKSN,BERKOSAN YALITIM
BEYAZ,BEYAZ FILO
BLCYT,BILICI YATIRIM
BIMAS,BIM MAGAZALAR
BIOEN,BIOTREND CEVRE VE ENERJI
BRLSM,BIRLESIM MUHENDISLIK
BOBET,BOGAZICI BETON SANAYI
BURCE,BURCELIK
BURVA,BURCELIK VANA
BUCIM,BURSA CIMENTO
CANTE,CAN2 TERMIK
CLEBI,CELEBI
CEMAS,CEMAS DOKUM
CEMTS,CEMTAS
CMBTN,CIMBETON
CIMSA,CIMSA
DAPGM,DAP GAYRIMENKUL
DARDL,DARDANEL
DGATE,DATAGATE BILGISAYAR
DZGYO,DENIZ GMYO
DESA,DESA DERI
DITAS,DITAS DOGAN
DGNMO,DOGANLAR MOBILYA
ARASE,DOGU ARAS ENERJI
DOAS,DOGUS OTOMOTIV
DOGUB,DOGUSAN
DYOBY,DYO BOYA
EDATA,E-DATA TEKNOLOJI
EGEEN,EGE ENDUSTRI
EGGUB,EGE GUBRE
EGPRO,EGE PROFIL
EREGL,EREGLI DEMIR CELIK
ERSU,ERSU GIDA
ESCOM,ESCORT TEKNOLOJI
TEZOL,EUROPAP TEZOL KAGIT
EYGYO,EYG GMYO
FADE,FADE GIDA
FMIZP,F-M IZMIT PISTON
FONET,FONET BILGI TEKNOLOJILERI
FORMT,FORMET METAL VE CAM
GWIND,GALATA WIND ENERJI
GEDZA,GEDIZ AMBALAJ
GENIL,GEN ILAC
GENTS,GENTAS
GEREL,GERSAN ELEKTRIK
GMTAS,GIMAT MAGAZACILIK
GESAN,GIRISIM ELEKTRIK SANAYI
GOODY,GOOD-YEAR
GOZDE,GOZDE GIRISIM
GUBRF,GUBRE FABRIK.
HKTM,HIDROPAR HAREKET KONTROL
HUNER,HUN YENILENEBILIR ENERJI
IHEVA,IHLAS EV ALETLERI
INTEM,INTEMA
ISSEN,ISBIR SENTETIK DOKUMA
ISKPL,ISIK PLASTIK
IEYHO,ISIKLAR ENERJI YAPI HOL.
ISDMR,ISKENDERUN DEMIR CELIK
IZINV,IZ YATIRIM HOLDING
JANTS,JANTSA JANT SANAYI
KFEIN,KAFEIN YAZILIM
KLKIM,KALEKIM KIMYEVI MADDELER
KRDMA,KARDEMIR (A)
KRDMB,KARDEMIR (B)
KRDMD,KARDEMIR (D)
KARYE,KARTAL YEN. ENERJI
KRVGD,KERVAN GIDA
KZBGY,KIZILBUK GYO
KCAER,KOCAER CELIK
KNFRT,KONFRUT GIDA
KONTR,KONTROLMATIK TEKNOLOJI
KONYA,KONYA CIMENTO
KONKA,KONYA KAGIT
KGYO,KORAY GMYO
KORDS,KORDSA TEKNIK TEKSTIL
KRGYO,KORFEZ GMYO
KRSTL,KRISTAL KOLA
KRONT,KRON TELEKOMUNIKASYON
KUTPO,KUTAHYA PORSELEN
KUYAS,KUYAS YATIRIM
LINK,LINK BILGISAYAR
LKMNH,LOKMAN HEKIM SAGLIK
LUKSK,LUKS KADIFE
MAKIM,MAKIM MAKINE
MANAS,MANAS ENERJI YONETIMI
MTRKS,MATRIKS BILGI DAGITIM
MAVI,MAVI GIYIM
MEDTR,MEDITERA TIBBI MALZEME
MEGAP,MEGA POLIETILEN
MERCN,MERCAN KIMYA
MERKO,MERKO GIDA
MIATK,MIA TEKNOLOJI
MIPAZ,MILPA
MPARK,MLP SAGLIK
MOBTL,MOBILTEL ILETISIM
EGEPO,NASMED EGEPOL
NTGAZ,NATURELGAZ
NETAS,NETAS TELEKOM.
NIBAS,NIGBAS NIGDE BETON
NUHCM,NUH CIMENTO
OBASE,OBASE BILGISAYAR
ODAS,ODAS ELEKTRIK
ONCSM,ONCOSEM ONKOLOJIK SISTEMLER
ORGE,ORGE ENERJI ELEKTRIK
OSTIM,OSTIM ENDUSTRIYEL YAT
OTKAR,OTOKAR
OYAKC,OYAK CIMENTO
OYLUM,OYLUM SINAI YATIRIMLAR
OZKGY,OZAK GMYO
OZGYO,OZDERICI GMYO
OZRDN,OZERDEN PLASTIK
OZSUB,OZSU BALIK
PNLSN,PANELSAN CATI CEPHE
PRDGS,PARDUS GIRISIM
PSGYO,PASIFIK GMYO
PGSUS,PEGASUS
PEKGY,PEKER GMYO
PENGD,PENGUEN GIDA
PENTA,PENTA TEKNOLOJI URUNLERI DAGITIM
PETUN,PINAR ET VE UN
PNSUT,PINAR SUT
PKART,PLASTIKKART
PLTUR,PLATFORM TURIZM
POLHO,POLISAN HOLDING
POLTK,POLITEKNIK METAL
QUAGR,QUA GRANITE HAYAL YAPI
RALYH,RAL YATIRIM HOLDING
RHEAG,RHEA GIRISIM
RODRG,RODRIGO TEKSTIL
RUBNS,RUBENIS TEKSTIL
SAFKR,SAFKAR EGE SOGUTMACILIK
SANFM,SANIFOAM SUNGER
SANKO,SANKO PAZARLAMA
SAMAT,SARAY MATBAACILIK
SASA,SASA POLYESTER
SAYAS,SAY YENILENEBILIR ENERJI
SEKUR,SEKURO PLASTIK
SELEC,SELCUK ECZA DEPOSU
SELGD,SELCUK GIDA
SELVA,SELVA GIDA
SRVGY,SERVET GMYO
SILVR,SILVERLINE ENDUSTRI
SNGYO,SINPAS GMYO
SMRTG,SMART GUNES ENERJISI TEK.
SMART,SMARTIKS YAZILIM
SOKE,SOKE DEGIRMENCILIK
SONME,SONMEZ FILAMENT
SUNTK,SUN TEKSTIL
SUWEN,SUWEN TEKSTIL
TKNSA,TEKNOSA IC VE DIS TICARET
TGSAS,TGS DIS TICARET
TDGYO,TREND GMYO
TUKAS,TUKAS
TMSN,TUMOSAN MOTOR VE TRAKTOR
TUPRS,TUPRAS
TRCAS,TURCAS PETROL
TUREX,TUREKS TURIZM TASIMACILIK
THYAO,TURK HAVA YOLLARI
TRILC,TURK ILAC SERUM
PRKAB,TURK PRYSMIAN KABLO
TTRAK,TURK TRAKTOR
ULUSE,ULUSOY ELEKTRIK
USAK,USAK SERAMIK
VAKKO,VAKKO TEKSTIL
VBTYZ,VBT YAZILIM
VERUS,VERUSA HOLDING
VERTU,VERUSATURK GIRISIM
VESBE,VESTEL BEYAZ ESYA
YAPRK,YAPRAK SUT VE BESI CIFT.
YATAS,YATAS
YYLGD,YAYLA GIDA
YEOTK,YEO TEKNOLOJI ENERJI
YKSLN,YUKSELEN CELIK
YUNSA,YUNSA
