Symbol,Son,Dün,%,Yüksek,Düşük,Ağ.Ort.,Hacim(TL)
AEFES,"52,7","54,25","-2,86","53,9","51,85","52,68","173,9 Mio"
AGHOL,"92,8","95,25","-2,57","95,6","89,9","92,33","54,8 Mio"
AKBNK,"16,65","17,05","-2,35","17,01","16,03","16,59","4.355,5 Mio"
AKSA,"78,75","77,3","1,88","78,75","75,1","76,78","175,6 Mio"
AKSEN,"37,86","38,04","-0,47","38,16","36,46","37,24","294,5 Mio"
ALARK,"75,1","68,3","9,96","75,1",66,"70,43","1.807,7 Mio"
ARCLK,"113,6","115,6","-1,73","115,3","110,2",113,"897,9 Mio"
ASELS,"61,55","60,95","0,98","62,1","59,3","60,7","6.304,6 Mio"
BERA,"12,26","12,83","-4,44","12,85","11,97","12,36","107,0 Mio"
BIMAS,"133,5","133,9","-0,3","134,4",129,"131,67","805,1 Mio"
DOHOL,"8,92","9,16","-2,62","9,11","8,48","8,83","733,4 Mio"
EGEEN,"5455,1","5713,5","-4,52","5722,2","5386,7","5505,01","288,6 Mio"
EKGYO,"8,1","8,13","-0,37","8,2","7,72","8,02","2.826,8 Mio"
ENJSA,"33,14","34,02","-2,59","33,94","32,04","33,09","742,8 Mio"
EREGL,"39,1","39,02","0,21","39,22","37,58","38,46","3.174,4 Mio"
FROTO,"521,1","512,9","1,6","521,4","501,5","510,73","1.612,6 Mio"
GARAN,"23,82","24,54","-2,93","24,46","23,06","23,77","1.569,2 Mio"
GUBRF,"305,2","339,1",-10,"346,5","305,2","323,2","3.216,4 Mio"
HALKB,"10,84","11,32","-4,24","11,32","10,54","10,88","851,7 Mio"
HEKTS,"34,06","32,5","4,8","34,9","31,98","33,31","246,7 Mio"
ISCTR,"10,89","11,23","-3,03","11,18","10,45","10,85","2.067,4 Mio"
ISGYO,"11,64","11,84","-1,69","12,09","11,42","11,72","412,3 Mio"
KCHOL,"79,05","78,75","0,38","79,65","75,3","77,62","2.124,5 Mio"
KONTR,143,146,"-2,05","147,5","139,9","142,49","127,6 Mio"
KORDS,"77,2","79,1","-2,4","78,9","75,9","77,35","139,9 Mio"
KOZAA,"56,55","58,8","-3,83","58,4","53,6","56,4","1.409,8 Mio"
KOZAL,"555,6","585,5","-5,11","582,3","531,1","559,56","4.691,6 Mio"
KRDMD,"17,2","17,76","-3,15","18,03","16,44","17,28","2.840,2 Mio"
MGROS,"141,7","144,7","-2,07","144,4","138,2","140,78","297,6 Mio"
ODAS,"7,94","8,12","-2,22","8,24","7,7","7,92","838,8 Mio"
OTKAR,"997,7","1010,2","-1,24","1016,5",968,"994,39","147,6 Mio"
OYAKC,"23,02","23,4","-1,62","23,38","22,26","22,91","244,9 Mio"
PETKM,"16,73","17,09","-2,11","17,06","16,26","16,69","2.493,3 Mio"
PGSUS,"543,6","549,2","-1,02","548,7",528,"537,89","2.332,7 Mio"
SAHOL,"39,9","40,04","-0,35","40,22","38,48","39,37","2.417,6 Mio"
SASA,108,102,"5,88","109,3","100,1","105,19","461,2 Mio"
SISE,"41,84","41,36","1,16","42,26","40,24","41,16","4.343,1 Mio"
SMRTG,75,"78,05","-3,91","77,6","73,65","75,17","86,4 Mio"
SOKM,"28,42","29,62","-4,05","29,3","27,34","28,26","374,4 Mio"
TAVHL,"85,7","86,5","-0,92","86,75",82,"84,35","537,9 Mio"
TCELL,"38,04","39,2","-2,96","39,32","36,92","38,14","1.845,3 Mio"
THYAO,"149,8","150,2","-0,27","150,6","143,9","147,73","11.981,9 Mio"
TKFEN,"42,16","45,18","-6,68","44,58","40,86","42,58","1.140,7 Mio"
TOASO,"163,6","163,3","0,18","166,9","156,2","161,81","1.227,7 Mio"
TSKB,"4,23","4,31","-1,86","4,33","4,07","4,2","610,9 Mio"
TTKOM,"21,48","22,54","-4,7","22,46","20,84","21,63","1.698,8 Mio"
TUPRS,"634,7","615,2","3,17","636,9","599,9","621,49","8.066,2 Mio"
VAKBN,"9,72","10,05","-3,28","9,99","9,43","9,71","826,9 Mio"
VESTL,67,"69,45","-3,53","71,8","65,3","68,63","1.264,5 Mio"
YKBNK,"9,09","9,4","-3,3","9,32","8,84","9,07","2.880,6 Mio"
