Symbol,ad
DRI,1+1 DRILLISCH AG O.N.
TGT,11 88 0 SOLUTIONS AG
UUU,3U HOLDING AG
4BSB,4BASEBIO AG NA O.N.
VSC,4SC AG
ACWN,A.S.CREATION TAPETEN NA
ARL,AAREAL BANK AG
A4Y,ACCENTRO REAL ESTATE AG O.N.
ADS,ADIDAS AG NA O.N.
ADD,ADLER MODEMAERKTE AG O.N.
ADL,ADLER REAL ESTATE AG
ADV,ADVA OPTICAL NETWORKING SE O.N.
AAH,AHLERS AG NA O.N.
AIXA,AIXTRON SE NA O.N.
ASL,AKASOL AG INH. O.N.
A1OS,ALL FOR ONE GROUP NA O.N.
ALV,ALLIANZ SE NA O.N.
AOX,ALSTRIA OFFICE REIT-AG
ACT,ALZCHEM GROUP AG INH O.N.
AAD,AMADEUS FIRE AG
ART,ARTNET AG NA O.N.
AOF,ATOSS SOFTWARE AG
AAG,AUMANN AG INH O.N.
NDA,AURUBIS AG
AVES,AVES ONE AG O.N.
BNN,B.R.A.I.N. NA
BAS,BASF SE NA O.N.
BSL,BASLER AG O.N.
BST,BASTEI LUEBBE AG O.N.
B5A,BAUER AG
BMW3,BAY.MOTOREN WERKE VZO
BMW,BAY.MOTOREN WERKE AG ST
BAYN,BAYER AG NA O.N.
BYW,BAYWA AG NA O.N.
BYW6,BAYWA AG VINK.NA. O.N.
BC8,BECHTLE AG O.N.
BEI,BEIERSDORF AG O.N.
BDT,BERTRANDT AG O.N.
ACX,BET-AT-HOME.COM AG O.N.
GBF,BILFINGER SE O.N.
B8F,BIOFRONTERA AG NA O.N.
BIO,BIOTEST AG ST O.N.
BIO3,BIOTEST AG VZ O.N.
BVB,BORUSSIA DORTMUND
BNR,BRENNTAG AG NA O.N.
BKHT,BROCKHAUS CAPITAL MGMT ON
COK,CANCOM SE O.N.
CPX,CAPSENSIXX AG INH O.N.
AFX,CARL ZEISS MEDITEC AG
CEC,CECONOMY AG ST O.N.
CEC1,CECONOMY AG VZO O.N.
CSH,CENIT AG O.N.
CWC,CEWE STIFTUNG KGAA O.N.
C0M,COM.CHARG.SOL.AG INH.O.N.
CBK,COMMERZBANK AG
COP,COMPUGROUP MED. NA O.N.
CON,CONTINENTAL AG O.N.
1COV,COVESTRO AG O.N.
CSQ,CREDITSHELF AG IA O.N.
CE2,CROPENERGIES AG
EVD,CTS EVENTIM KGAA
DAI,DAIMLER AG NA O.N.
DAM,DATA MODUL AG O.N.
LOUD,DEAG DEUTSCHE ENTERTAINMENT AG O.N.
DHER,DELIVERY HERO SE NA O.N.
DEX,DELTICOM AG NA O.N.
DMRE,DEMIRE DEUTSCHE MITTELSTAND REAL ESTATE AG
DMP,DERMAPHARM HOLDING INH O.N.
DBK,DEUTSCHE BANK AG NA O.N.
DB1,DEUTSCHE BOERSE NA O.N.
DEQ,DEUTSCHE EUROSHOP NA O.N.
DPW,DEUTSCHE POST AG NA O.N.
DWNI,DEUTSCHE WOHNEN SE INH
DEZ,DEUTZ AG O.N.
DFV,DFV DEUTSCHE FAMILIENVERSICHERUNG O.N.
DLG,"DIALOG SEMICONDUCTOR PLC LS-,10"
DBD,"DIEBOLD NIXDORF DL 1,25"
HNL,DR. HOENLE AG O.N.
DRW8,DRAEGERWERK ST.A.O.N.
DRW3,DRAEGERWERK VZO O.N.
DBAN,DT.BETEILIG.AG NA O.N.
JB7,DT.IND.REIT-AG INH O.N.
DKG,DT.KONSUM REIT-AG
PBB,DT.PFANDBRIEFBK AG
DTE,DT.TELEKOM AG NA
DUE,DUERR AG O.N.
DWS,DWS GROUP GMBH+CO.KGAA ON
EOAN,E.ON SE NA O.N.
EUZ,ECKERT+ZIEGLER AG O.N.
E4C,ECOTEL COMMUNICATION AG
EIN3,EINHELL GERMANY VZO O.N.
ELG,ELMOS SEMICONDUCTOR INH O.N.
ZIL2,ELRINGKLINGER AG NA O.N.
ELB,ELUMEO SE
CAP,ENCAVIS AG INH. O.N.
ECX,EPIGENOMICS AG NA O.N.
ERWE,ERWE IMMOBILIEN AG INH O.N.
EVK,EVONIK INDUSTRIES NA O.N.
EVT,EVOTEC SE INH O.N.
FIE,FIELMANN AG O.N.
SIS,FIRST SENSOR AG O.N.
FTK,FLATEXDEGIRO AG NA O.N.
FEV,FORTEC ELEKTRO. O.N.
FPH,FRANCOTYP-POSTALIA HLDG
FRA,FRAPORT AG FFM.AIRPORT
FNTN,FREENET AG NA O.N.
FME,FRESENIUS MEDICAL CARE KGAA O.N.
FRE,FRESENIUS SE+CO.KGAA O.N.
FPE3,FUCHS PETROL.SE VZO O.N.
FPE,FUCHS PETROLUB SE O.N.
GTY,GATEWAY R.EST.AG O.N.
G1A,GEA GROUP AG
GME,GERATHERM O.N.
GXI,GERRESHEIMER AG
GSC1,GESCO AG NA O.N.
GFT,GFT TECHNOLOGIES SE
GGS,GIGASET AG O.N.
GKS,GK SOFTWARE INH O.N.
GMM,GRAMMER AG O.N.
GLJ,GRENKE AG NA O.N.
2HRA,H+R KGAA INH. O.N.
HAB,HAMBORNER REIT AG O.N.
HHFA,HAMBURGER HAFEN UND LOGISTIK A-SP NA
HNR1,HANNOVER RUECK SE NA O.N.
HLAG,HAPAG-LLOYD AG NA O.N.
HAW,HAWESKO HOLDING INH O.N.
WL6,HEIDELBERG PHARMA AG O.N.
HEI,HEIDELBERGCEMENT AG O.N.
HDD,HEIDELBERGER DRUCKMASCHINEN .O.N.
HLE,HELLA GMBH+CO. KGAA O.N.
HFG,HELLOFRESH SE INH O.N.
HEN,HENKEL AG+CO.KGAA ST O.N.
HEN3,HENKEL AG+CO.KGAA VZO
5UH,HENSOLDT AG NA O.N.
HOT,HOCHTIEF AG
HOC,HOLIDAYCHECK GROUP AG
H24,HOME24 SE INH O.N.
HBM,HORNBACH BAUMARKT AG O.N.
HBH,HORNBACH HOLDING ST O.N.
BOSS,HUGO BOSS AG NA O.N.
HYQ,HYPOPORT SE NA O.N.
INH,INDUS HOLDING AG
IFX,INFINEON TECH.AG NA O.N.
IXX,INIT INNOVATION O.N.
INS,INSTONE REAL ESTATE GROUP O.N.
ISH2,INTERSHOP COMMUNICATIONS INH O.N.
IS7,INTICA SYSTEMS AG
IVX,INVISION AG
ISR,ISRA VISION O.N.
IVU,IVU TRAFFIC TECHN.AG O.N.
JEN,JENOPTIK AG NA O.N.
JST,JOST WERKE AG INH. O.N.
JUN3,JUNGHEINRICH AG O.N.VZO
SDF,K+S AG NA O.N.
IUR,KAP AG INH O.N.
KGX,KION GROUP AG
KCO,KLOECKNER + CO SE NA O.N.
KTA,KNAUS TABBERT AG NA O.N.
KBX,KNORR-BREMSE AG INH O.N.
SKB,KOENIG + BAUER AG ST O.N.
KSC,KPS AG NA O.N.
KRN,KRONES AG O.N.
KU2,KUKA AG
KWS,KWS SAAT KGAA INH O.N.
LXS,LANXESS AG
LEG,LEG IMMOBILIEN AG NA O.N.
LEI,LEIFHEIT AG O.N.
LEO,LEONI AG NA O.N.
LPK,LPKF LASER+ELECTRONICS
ECK,LUDW.BECK A.RATHAUSECK
LHA,LUFTHANSA AG VNA O.N.
M5Z,MANZ AG
MZX,MASTERFLEX O.N.
MXHN,MAX AUTOMATION SE NA O.N.
MBB,MBB SE O.N.
MED,MEDICLIN AG
MDG1,MEDIGENE AG NA O.N.
ILM1,MEDIOS AG O.N.
MRK,MERCK KGAA O.N.
B4B,METRO AG ST O.N.
B4B3,METRO AG VZO O.N.
MLP,MLP SE INH. O.N.
MOR,MORPHOSYS AG O.N.
MTX,MTU AERO ENGINES NA O.N.
MUV2,MUENCH.RUECKVERSICHERUNGS GESELLSCHAFT.VNA O.N.
MVV1,MVV ENERGIE AG NA O.N.
NA9,NAGARRO SE NA O.N.
NEM,NEMETSCHEK SE O.N.
NWO,NEW WORK SE NA O.N.
NXU,NEXUS AG O.N.
NFN,NFON AG INH O.N.
NDX1,NORDEX SE O.N.
NOEJ,NORMA GROUP SE NA O.N.
OHB,OHB SE O.N.
OSR,OSRAM LICHT AG NA O.N.
O4B,OVB HOLDING AG
PA8,PAION O.N
PGN,PARAGON KGAA INH O.N.
PAT,PATRIZIA AG NA ON
PFV,PFEIFFER VACUUM TECH.O.N.
PSG,PHARMASGP HOLDING SE O.N.
PNE3,PNE AG NA O.N.
PCZ,PROCREDIT HOLDING AG NA EO 5
PWO,PROGRESS-WERK OBERKIRCH. O.N.
PSM,PROSIEBENSAT.1 NA O.N.
PSAN,PSI SOFTWARE AG NA O.N.
PUM,PUMA SE
TPE,PVA TEPLA AG O.N.
QSC,Q.BEYOND AG NA O.N.
RSL2,R. STAHL AG NA O.N.
RAA,RATIONAL AG
RHM,RHEINMETALL AG
RHK,RHOEN-KLINIKUM O.N.
RIB,RIB SOFTWARE SE NA EO 1
RWE,RWE AG INH O.N.
SZG,SALZGITTER AG O.N.
SAP,SAP SE O.N.
SRT,SARTORIUS AG O.N.
SRT3,SARTORIUS AG VZO O.N.
SHA,SCHAEFFLER AG INH. VZO
SLT,SCHALTBAU HOLDING NA O.N
G24,SCOUT24 AG NA O.N.
YSN,SECUNET SECURITY AG O.N.
SJJ,SERVICEWARE SE INH O.N.
F3C,SFC ENERGY AG
SGL,SGL CARBON SE O.N.
SIE,SIEMENS AG NA O.N.
ENR,SIEMENS ENERGY AG NA O.N.
SHL,SIEMENS HEALTH.AG NA O.N.
WAF,SILTRONIC AG NA O.N.
SNG,SINGULUS TECHNOL. EO 1
LNSX,SIXT LEASING O.N.
SIX2,SIXT SE ST O.N.
SIX3,SIXT SE VZO O.N.
AM3D,SLM SOLUTIONS GRP AG
S92,SMA SOLAR TECHNOL.AG
S4A,SMT SCHARF AG
SHF,SNP SCHNEIDER-NEUREITHER O.N.
SYT,SOFTING AG O.N.
SOW,SOFTWARE AG NA O.N.
S9I,STEMMER IMAGING AG INH ON
SBS,STRATEC SE NA O.N.
SAX,STROEER SE + CO. KGAA
SZU,SUEDZUCKER AG O.N.
SMHN,SUESS MICROTEC SE NA O.N.
SUR,SURTECO GROUP SE INH O.N.
SY1,SYMRISE AG INH. O.N.
SYZ,SYZYGY AG O.N.
TEG,TAG IMMOBILIEN AG
TTK,TAKKT AG O.N.
TLX,TALANX AG NA O.N.
TMV,TEAMVIEWER AG INH O.N.
TTR1,TECHNOTRANS SE NA O.N.
TC1,TELE COLUMBUS AG NA O.N.
O2D,TELEFONICA DEUTSCHLAND HOLDING NA
TLIK,TELES AG INFORMATIONSTECHNOLOGIEN ON
TKA,THYSSENKRUPP AG O.N.
8TRA,TRATON SE INH O.N.
UN01,UNIPER SE NA O.N.
ULC,UNITED LABELS O.N.
OSP2,USU SOFTWARE AG
UTDI,UTD.INTERNET AG NA
VQT,VA-Q-TEC AG NA O.N.
VAR1,VARTA AG O.N.
VBK,VERBIO VER.BIOENERGIE ON
VIB3,VILLEROY + BOCH AG VZ
V6C,VISCOM AG O.N.
V3V,VITA 34 AG NA O.N.
VOW,VOLKSWAGEN AG ST O.N.
VOW3,VOLKSWAGEN AG VZO O.N.
VBX,VOLTABOX AG INH. O.N.
VNA,VONOVIA SE NA O.N.
VOS,VOSSLOH AG O.N.
WCH,WACKER CHEMIE O.N.
WAC,WACKER NEUSON SE NA O.N.
WSU,WASHTEC AG O.N.
WEW,WESTWING GROUP INH. O.N.
