Name,Symbol
European Indices,
23 Jan 2023,
All datapoints provided as of end of last active trading day.,
EN EXPAND ALL-S,OAAXP
EN EXPAND ALL-S GR,OAAX
EN EXPAND ALL-S NR,OAAXN
OBOSX OIL SERV GR,OBOSX
OBOSX OIL SERV PR,OBOSP
OBSFX SEAFOOD GR,OBSFX
OBSFX SEAFOOD NR,OBSFN
OBSFX SEAFOOD PR,OBSFP
OBSHX SHIPPING GR,OBSHX
OBSHX SHIPPING NR,OBSHN
OBSHX SHIPPING PR,OBSHP
OBX BASIC MAT GR,OBMG
OBX BASIC MAT NR,OBMN
OBX BASIC MAT PR,OBMP
OBX CONS DISC GR,OCDG
OBX CONS DISC NR,OCDN
OBX CONS DISC PR,OCDP
OBX CONS STAPLE GR,OCSG
OBX CONS STAPLE NR,OCSN
OBX CONS STAPLE PR,OCSP
OBX ENERGY GR,OENG
OBX ENERGY NR,OENN
OBX ENERGY PR,OENP
OBX FINANCIALS GR,OFING
OBX FINANCIALS NR,OFINN
OBX FINANCIALS PR,OFINP
OBX GR,OBX
OBX HEALTH C GR,OHCG
OBX HEALTH C NR,OHCN
OBX HEALTH C PR,OHCP
OBX INDUSTRIALS GR,OING
OBX INDUSTRIALS NR,OINN
OBX INDUSTRIALS PR,OINP
OBX PR,OBXP
OBX REAL ESTATE GR,OREG
OBX REAL ESTATE NR,OREN
OBX REAL ESTATE PR,OREP
OBX TECHNOLOGY GR,OTECG
OBX TECHNOLOGY NR,OTECN
OBX TECHNOLOGY PR,OTECP
OBX TELECOM GR,OTELG
OBX TELECOM NR,OTELN
OBX TELECOM PR,OTELP
OBX UNCAPPED GR,OBXU
OBX UNCAPPED PR,OBXUP
OBX UTILITIES GR,OUTG
OBX UTILITIES NR,OUTN
OBX UTILITIES PR,OUTP
OSE All-SHARE GR,OSEAX
OSE All-SHARE NR,OSEAN
OSE All-SHARE PR,OSEAP
OSEBX GR,OSEBX
OSEBX NR,OSEBN
OSEBX PR,OSEBP
OSEBX STB GR,OSEBS
OSEBX STB PR,OSEPB
OSEBXG GR,OSEBG
OSEBXG PR,OSEPX
OSEEXR GR,OSEER
OSEEXR PR,OSEXP
OSEFX MUTUAL F GR,OSEFX
OSEFX MUTUAL F NR,OSEFN
OSEFX MUTUAL F PR,OSEFP
OSEMX MID CAP GR,OSEMX
OSEMX MID CAP NR,OSEMN
OSEMX MID CAP PR,OSEMP
OSESX SMALL CAP GR,OSESX
OSESX SMALL CAP NR,OSESN
OSESX SMALL CAP PR,OSESP
OSLO B�RS EQ C GR,OSEEX
OSLO B�RS EQ C PR,OSEEP
OSLO ENERGY GR,SSENX
OSLO ENERGY PR,SSENP
OSLO SEAFOOD GR,SSSFX
OSLO SEAFOOD PR,SSSFP
OSLO SHIPPING GR,SSSHX
OSLO SHIPPING PR,SSSHP
