Symbol,ad
ACSEL,Acıselsan Acıpayam Selüloz Sanayi ve Ticaret A.Ş.
ADEL,Adel Kalemcilik Ticaret Ve Sanayi A.Ş.
ADESE,Adese Gayrimenkul Yatırım A.Ş.
AEFES,Anadolu Efes Biracılık Ve Malt Sanayii A.Ş.
AFYON,Afyon Çimento Sanayi Türk .A.Ş.
AGESA,AGESA HAYAT VE EMEKLİLİK A.Ş
AGHOL,AG Anadolu Grubu Holding A.Ş.
AGYO,Atakule Gayrimenkul Yatırım Ortaklığı A.Ş.
AHGAZ,AHLATÇI DOĞAL GAZ
AKBNK,Akbank T.A.Ş.
AKCNS,Akçansa Çimento Sanayi Ve Ticaret A.Ş.
AKENR,Akenerji Elektrik Üretim A.Ş.
AKFGY,Akfen Gayrimenkul Yatırım Ortaklığı A.Ş.
AKGRT,Aksigorta A.Ş.
AKMGY,Akmerkez Gayrimenkul Yatırım Ortaklığı A.Ş.
AKSA,Aksa Akrilik Kimya Sanayii A.Ş.
AKSEN,Aksa Enerji Üretim A.Ş.
AKSGY,Akiş Gayrimenkul Yatırım Ortaklığı A.Ş.
AKSUE,Aksu Enerji Ve Ticaret A.Ş.
AKYHO,AKDENIZ YATIRIM HOLDING
ALARK,Alarko Holding A.Ş.
ALBRK,Albaraka Türk Katılım Bankası A.Ş.
ALCAR,Alarko Carrier Sanayi Ve Ticaret A.Ş.
ALCTL,Alcatel Lucent Teletaş Telekomünikasyon A.Ş.
ALFAS,ALFA SOLAR ENERJİ
ALGYO,Alarko Gayrimenkul Yatırım Ortaklığı A.Ş.
ALKA,Alkim Kağit Sanayi ve Ticaret A.Ş.
ALKIM,Alkim Alkali Kimya A.Ş.
ALMAD,ALTINYAĞ
ANELE,Anel Elektrik Proje Taahhüt ve Ticaret A.Ş.
ANGEN,ANATOLIA TANI
ANHYT,Anadolu Hayat Emeklilik A.Ş.
ANSGR,Anadolu Anonim Türk Sigorta Şirketi
ARASE,DOĞU ARAS ENERJİ
ARCLK,Arçelik A.Ş.
ARDYZ,ARD BİLİŞİM TEKNOLOJİLERİ
ARENA,Arena Bilgisayar Sanayi ve Ticaret A.Ş.
ARMDA,Armada Bilgisayar Sistemleri Sanayi ve Ticaret Ano
ARSAN,Arsan Tekstil Ticaret Ve Sanayi A.Ş.
ARZUM,ARZUM ELEKTRİKLİ EV ALETLERİ
ASELS,Aselsan Elektronik Sanayi Ve Ticaret A.Ş.
ASUZU,Anadolu Isuzu Otomotiv Sanayi Ve Ticaret A.Ş.
ATAGY,Ata Gayrimenkul Yatırım Ortaklığı A.Ş.
ATATP,ATP BILGISAYAR
ATEKS,Akın Tekstil A.Ş.
ATLAS,Atlas Menkul Kıymetler Yatırım Ortaklığı A.Ş.
ATSYH,Atlantis Yatırım Holding A.Ş.
AVGYO,Avrasya Gayrimenkul Yatırım Ortaklığı A.Ş.
AVHOL,Avrupa Yatırım Holding A.Ş.
AVOD,A.V.O.D. Kurutulmuş Gıda ve Tarım Ürünleri A.Ş.
AVTUR,Avrasya Petrol ve Turistik Tesisler Yatırım A.Ş.
AYCES,Altınyunus Çeşme Turistik Tesisler A.Ş.
AYDEM,AYDEM ENERJİ
AYEN,Ayen Enerji A.Ş.
AYES,Ayes Çelik Hasır Ve Çit Sanayi A.Ş.
AYGAZ,Aygaz A.Ş.
AZTEK,AZTEK TEKNOLOJİ
BAGFS,Bağfaş Bandırma Gubre Fabrikaları A.Ş.
BAKAB,Bak Ambalaj Sanayi Ve Ticaret A.Ş.
