Symbol,Bülten Adı
AVOD,A.V.O.D GIDA VE TARIM
AFYON,AFYON CIMENTO
AKSA,AKSA
AKSEN,AKSA ENERJI
ALBRK,ALBARAKA TURK
ALCTL,ALCATEL LUCENT TELETAS
ALKA,ALKIM KAGIT
ALKIM,ALKIM KIMYA
ARDYZ,ARD BILISIM TEKNOLOJILERI
ASELS,ASELSAN
ATATP,ATP BILGISAYAR
BASGZ,BASKENT DOGALGAZ GMYO
BERA,BERA HOLDING
BIMAS,BIM MAGAZALAR
BIOEN,BIOTREND CEVRE VE ENERJI
BOBET,BOGAZICI BETON SANAYI
BUCIM,BURSA CIMENTO
CANTE,CAN2 TERMIK
CLEBI,CELEBI
CEMAS,CEMAS DOKUM
CEMTS,CEMTAS
CIMSA,CIMSA
DAPGM,DAP GAYRIMENKUL
DARDL,DARDANEL
DGNMO,DOGANLAR MOBILYA
ARASE,DOGU ARAS ENERJI
DOAS,DOGUS OTOMOTIV
EGEEN,EGE ENDUSTRI
EGGUB,EGE GUBRE
EREGL,EREGLI DEMIR CELIK
ESCOM,ESCORT TEKNOLOJI
TEZOL,EUROPAP TEZOL KAGIT
FORMT,FORMET METAL VE CAM
GWIND,GALATA WIND ENERJI
GENIL,GEN ILAC
GESAN,GIRISIM ELEKTRIK SANAYI
GOODY,GOOD-YEAR
GOZDE,GOZDE GIRISIM
GUBRF,GUBRE FABRIK.
HUNER,HUN YENILENEBILIR ENERJI
ISSEN,ISBIR SENTETIK DOKUMA
ISKPL,ISIK PLASTIK
ISDMR,ISKENDERUN DEMIR CELIK
JANTS,JANTSA JANT SANAYI
KFEIN,KAFEIN YAZILIM
KLKIM,KALEKIM KIMYEVI MADDELER
KRDMD,KARDEMIR (D)
KRVGD,KERVAN GIDA
KZBGY,KIZILBUK GYO
KCAER,KOCAER CELIK
KONTR,KONTROLMATIK TEKNOLOJI
KONYA,KONYA CIMENTO
KONKA,KONYA KAGIT
KORDS,KORDSA TEKNIK TEKSTIL
KRSTL,KRISTAL KOLA
KUTPO,KUTAHYA PORSELEN
MTRKS,MATRIKS BILGI DAGITIM
MAVI,MAVI GIYIM
MEDTR,MEDITERA TIBBI MALZEME
MIATK,MIA TEKNOLOJI
MPARK,MLP SAGLIK
MOBTL,MOBILTEL ILETISIM
NETAS,NETAS TELEKOM.
ODAS,ODAS ELEKTRIK
ORGE,ORGE ENERJI ELEKTRIK
OTKAR,OTOKAR
OYAKC,OYAK CIMENTO
OZKGY,OZAK GMYO
PSGYO,PASIFIK GMYO
PGSUS,PEGASUS
PEKGY,PEKER GMYO
PENGD,PENGUEN GIDA
PENTA,PENTA TEKNOLOJI URUNLERI DAGITIM
POLHO,POLISAN HOLDING
QUAGR,QUA GRANITE HAYAL YAPI
RUBNS,RUBENIS TEKSTIL
SASA,SASA POLYESTER
SELEC,SELCUK ECZA DEPOSU
SRVGY,SERVET GMYO
SNGYO,SINPAS GMYO
SMRTG,SMART GUNES ENERJISI TEK.
SUNTK,SUN TEKSTIL
SUWEN,SUWEN TEKSTIL
TKNSA,TEKNOSA IC VE DIS TICARET
TUKAS,TUKAS
TMSN,TUMOSAN MOTOR VE TRAKTOR
TUPRS,TUPRAS
TRCAS,TURCAS PETROL
THYAO,TURK HAVA YOLLARI
TRILC,TURK ILAC SERUM
PRKAB,TURK PRYSMIAN KABLO
TTRAK,TURK TRAKTOR
USAK,USAK SERAMIK
VERUS,VERUSA HOLDING
VERTU,VERUSATURK GIRISIM
VESBE,VESTEL BEYAZ ESYA
YATAS,YATAS
YYLGD,YAYLA GIDA
YEOTK,YEO TEKNOLOJI ENERJI
YUNSA,YUNSA
