Sıra No,Symbol,Bülten Adı
1,AVOD,A.V.O.D GIDA VE TARIM
2,ACSEL,ACIPAYAM SELULOZ
3,AFYON,AFYON CIMENTO
4,AHGAZ,AHLATCI DOGALGAZ
5,AKCNS,AKCANSA
6,ATEKS,AKIN TEKSTIL
7,AKSA,AKSA
8,AKSEN,AKSA ENERJI
9,ALBRK,ALBARAKA TURK
10,ALCTL,ALCATEL LUCENT TELETAS
11,ALFAS,ALFA SOLAR ENERJI
12,ALKA,ALKIM KAGIT
13,ALKIM,ALKIM KIMYA
14,ANELE,ANEL ELEKTRIK
15,ARDYZ,ARD BILISIM TEKNOLOJILERI
16,ARENA,ARENA BILGISAYAR
17,ARMDA,ARMADA BILGISAYAR
18,ARSAN,ARSAN TEKSTIL
19,ARZUM,ARZUM EV ALETLERI
20,ASELS,ASELSAN
21,ASTOR,ASTOR ENERJI
22,ATATP,ATP BILGISAYAR
23,BAKAB,BAK AMBALAJ
24,BNTAS,BANTAS AMBALAJ
25,BANVT,BANVIT
26,BARMA,BAREM AMBALAJ
27,BASGZ,BASKENT DOGALGAZ GMYO
28,BAYRK,BAYRAK TABAN SANAYI
29,BERA,BERA HOLDING
30,BRKSN,BERKOSAN YALITIM
31,BEYAZ,BEYAZ FILO
32,BLCYT,BILICI YATIRIM
33,BIMAS,BIM MAGAZALAR
34,BIOEN,BIOTREND CEVRE VE ENERJI
35,BRLSM,BIRLESIM MUHENDISLIK
36,BOBET,BOGAZICI BETON SANAYI
37,BURCE,BURCELIK
38,BURVA,BURCELIK VANA
39,BUCIM,BURSA CIMENTO
40,CANTE,CAN2 TERMIK
41,CLEBI,CELEBI
42,CEMAS,CEMAS DOKUM
43,CEMTS,CEMTAS
44,CMBTN,CIMBETON
45,CIMSA,CIMSA
46,DAPGM,DAP GAYRIMENKUL
47,DARDL,DARDANEL
48,DGATE,DATAGATE BILGISAYAR
49,DZGYO,DENIZ GMYO
50,DESA,DESA DERI
51,DITAS,DITAS DOGAN
52,DGNMO,DOGANLAR MOBILYA
53,ARASE,DOGU ARAS ENERJI
54,DOAS,DOGUS OTOMOTIV
55,DOGUB,DOGUSAN
56,DYOBY,DYO BOYA
57,EDATA,E-DATA TEKNOLOJI
58,EGEEN,EGE ENDUSTRI
59,EGGUB,EGE GUBRE
60,EGPRO,EGE PROFIL
61,EREGL,EREGLI DEMIR CELIK
62,ERSU,ERSU GIDA
