Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AFMD,Affimed N.V.,$1.22,0.05,4.274%,182193989.00,Germany,2014,3899494,Health Care,Biotechnology: Pharmaceutical Preparations
ATAI,ATAI Life Sciences N.V. Common Shares,$1.90,-0.05,-2.564%,315163083.00,Germany,2008,1225440,Health Care,Biotechnology: Pharmaceutical Preparations
BNTX,BioNTech SE American Depositary Share,$142.79,2.85,2.037%,34653048409.00,Germany,2019,1125424,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CNTG,Centogene N.V. Common Shares,$0.98,-0.05,-4.854%,26539926.00,Germany,2019,45060,Health Care,Medical Specialities
CVAC,CureVac N.V. Ordinary Shares,$10.46,0.11,1.063%,1990362649.00,Germany,2020,1647376,Health Care,Biotechnology: Pharmaceutical Preparations
DB,Deutsche Bank AG Common Stock,$13.04,0.24,1.875%,26565088000.00,Germany,,2823712,Finance,Commercial Banks
EVO,Evotec SE American Depositary Shares,$9.91,-0.41,-3.973%,3507201582.00,Germany,2021,35442,Health Care,Biotechnology: Pharmaceutical Preparations
FMS,Fresenius Medical Care AG Common Stock,$18.32,0.28,1.552%,10750668771.00,Germany,,382279,Health Care,Medical/Nursing Services
IFRX,InflaRx N.V. Common Stock,$2.405,0.00,0.00%,106310050.00,Germany,2017,22771,Health Care,Biotechnology: Pharmaceutical Preparations
IMTX,Immatics N.V. Ordinary Shares,$8.71,0.18,2.11%,663937501.00,Germany,,197765,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IMTXW,Immatics N.V. Warrants,$2.28,0.26,12.871%,0.00,Germany,,32122,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LILM,Lilium N.V. Class A Ordinary Shares,$1.265,0.045,3.689%,477724406.00,Germany,,759953,Industrials,Aerospace
LILMW,Lilium N.V. Warrants,$0.1275,0.0075,6.25%,0.00,Germany,,13321,Industrials,Aerospace
LOV,Spark Networks SE American Depositary Shares ,$0.96,0.1601,20.015%,25127011.00,Germany,,320031,Consumer Discretionary,Other Consumer Services
MOR,MorphoSys AG American Depositary Shares,$4.70,0.09,1.952%,642220652.00,Germany,2018,186132,Health Care,Biotechnology: Pharmaceutical Preparations
MYNA,Mynaric AG American Depository Shares,$4.46,0.12,2.765%,93534192.00,Germany,2021,2227,,
MYNZ,Mainz Biomed B.V. Ordinary Shares,$7.00,0.25,3.704%,101450811.00,Germany,2021,6434,Health Care,Biotechnology: Pharmaceutical Preparations
PIRS,Pieris Pharmaceuticals Inc. Common Stock,$1.40,0.00,0.00%,104168754.00,Germany,,740909,Health Care,Biotechnology: Pharmaceutical Preparations
SAP,SAP  SE ADS,$117.12,1.45,1.254%,136983552000.00,Germany,,728454,Technology,EDP Services
SEV,Sono Group N.V. Common Shares,$0.9997,0.0197,2.01%,93526049.00,Germany,2021,1056730,Consumer Discretionary,Auto Manufacturing
TIOA,Tio Tech A Class A Ordinary Share,$10.125,0.005,0.049%,436640625.00,Germany,2021,1843,Finance,Business Services
TIOAW,Tio Tech A Warrants,$0.0154,-0.0056,-26.667%,0.00,Germany,2021,5300,Finance,Business Services
TRVG,trivago N.V. American Depositary Shares,$1.66,0.06,3.75%,599727506.00,Germany,2016,1135590,Technology,EDP Services
VJET,voxeljet AG American Depositary Shares,$2.27,-0.06,-2.575%,18854123.00,Germany,,4155,Industrials,Industrial Machinery/Components
