Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CMRE,Costamare Inc. Common Stock $0.0001 par value,$10.04,0.15,1.517%,1222107062.00,Greece,2010,516008,Consumer Discretionary,Marine Transportation
CMRE^B,Costamare Inc. Perpetual Preferred Stock Series B (Marshall Islands),$24.12,-0.19,-0.782%,,Greece,,1840,,
CMRE^C,Costamare Inc. Perpetual Preferred Series C (Marshall Islands),$25.4514,-0.142,-0.555%,,Greece,,6527,,
CMRE^D,Costamare Inc. 8.75% Series D Cumulative Redeemable Perpetual Preferred Stock,$25.74,-0.13,-0.503%,,Greece,,3316,,
CMRE^E,Costamare Inc. 8.875% Series E Cumulative Redeemable Perpetual Preferred Stock par value $0.0001,$25.50,-0.055,-0.215%,,Greece,,9513,,
CPLP,Capital Product Partners L.P. Common Units,$13.90,-0.20,-1.418%,282764030.00,Greece,2007,61820,Consumer Discretionary,Marine Transportation
DAC,Danaos Corporation Common Stock,$57.09,0.66,1.17%,1156052747.00,Greece,2006,143910,Consumer Discretionary,Marine Transportation
DLNG,Dynagas LNG Partners LP Common Units,$2.66,-0.05,-1.845%,97893977.00,Greece,,71220,,
DLNG^A,Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units,$24.2999,-0.1995,-0.814%,,Greece,,1525,,
DLNG^B,Dynagas LNG Partners LP 8.75% Series B Fixed to Floating Rate Cumulative Redeemable Perpetual Preferred Units liquidation preference $25.00 per Uni,$24.24,-0.48,-1.942%,,Greece,,1536,,
DSX,Diana Shipping inc. common stock,$3.86,0.09,2.387%,332731379.00,Greece,2005,407182,Consumer Discretionary,Marine Transportation
DSX^B,Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands),$26.00,0.2457,0.954%,,Greece,,535,,
EDRY,EuroDry Ltd. Common Shares ,$16.00,0.26,1.652%,36874080.00,Greece,,7710,Consumer Discretionary,Marine Transportation
ESEA,Euroseas Ltd. Common Stock (Marshall Islands),$19.72,0.09,0.458%,140331582.00,Greece,,12132,Consumer Discretionary,Marine Transportation
GASS,StealthGas Inc. Common Stock,$2.86,0.04,1.418%,109258238.00,Greece,2005,15836,Consumer Discretionary,Marine Transportation
GLBS,Globus Maritime Limited Common Stock,$1.2016,0.0216,1.831%,24731693.00,Greece,,29485,Consumer Discretionary,Marine Transportation
IMPP,Imperial Petroleum Inc. Common Shares,$0.2805,0.0106,3.927%,0.00,Greece,,4808539,Consumer Discretionary,Marine Transportation
IMPPP,Imperial Petroleum Inc. 8.75% Series A Cumulative Redeemable Perpetual Preferred Shares,$19.90,-0.1987,-0.989%,0.00,Greece,,1337,Consumer Discretionary,Marine Transportation
NMM,Navios Maritime Partners LP Common Units Representing Limited Partner Interests,$25.98,0.23,0.893%,784190400.00,Greece,2007,96460,Consumer Discretionary,Marine Transportation
OP,OceanPal Inc. Common Stock,$0.94,0.00,0.00%,9572956.00,Greece,,879008,,
PHUN,Phunware Inc. Common Stock,$1.04,0.058,5.906%,106733450.00,Greece,2016,556336,Technology,EDP Services
PHUNW,Phunware Inc. Warrants,$0.43,-0.04,-8.511%,0.00,Greece,2016,10350,Technology,EDP Services
PSHG,Performance Shipping Inc. Common Shares,$3.00,-0.12,-3.846%,12141627.00,Greece,,97518,Consumer Discretionary,Marine Transportation
PXS,Pyxis Tankers Inc. Common Stock,$5.15,-0.09,-1.718%,111033408.00,Greece,,47153,Consumer Discretionary,Marine Transportation
PXSAP,Pyxis Tankers Inc. 7.75% Series A Cumulative Convertible Preferred Shares,$24.10,-0.0201,-0.083%,0.00,Greece,,852,Consumer Discretionary,Marine Transportation
PXSAW,Pyxis Tankers Inc. Warrant,$1.575,0.135,9.375%,0.00,Greece,,835,Consumer Discretionary,Marine Transportation
SBLK,Star Bulk Carriers Corp. Common Shares,$22.45,0.61,2.793%,2305354086.00,Greece,,2077852,Consumer Discretionary,Marine Transportation
SHIP,Seanergy Maritime Holdings Corp Common Stock,$0.6245,0.0212,3.514%,95636729.00,Greece,,2697067,Consumer Discretionary,Marine Transportation
TNP,Tsakos Energy Navigation Ltd Common Shares,$18.20,0.06,0.331%,521069749.00,Greece,2002,375798,Consumer Discretionary,Marine Transportation
TNP^D,Tsakos Energy Navigation Ltd 8.75% Series D Cumulative Redeemable Perpetual Preferred Shares,$24.69,0.14,0.57%,,Greece,,2129,,
TNP^E,Tsakos Energy Navigation Ltd Series E Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Shares par value $1.00,$24.66,0.18,0.735%,,Greece,,12350,,
TNP^F,Tsakos Energy Navigation Ltd Series F Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Shares par value $1.00,$24.82,0.025,0.101%,,Greece,,19301,,
TOPS,TOP Ships Inc. Common Stock,$1.50,-0.02,-1.316%,59747958.00,Greece,2004,491005,Consumer Discretionary,Marine Transportation
USEA,United Maritime Corporation Common Stock,$3.06,0.06,2.00%,22099972.00,Greece,,159406,Consumer Discretionary,Marine Transportation
